RN,LATITUDE,LONGITUDE,ACCOUNT,REGION,COMPANY,SITE,REPORTING_YEAR,COUNTY,SIC,SIC_DESCRIPTION,CO_TPY,NOX_TPY,Pb_TPY,PM10_TPY,PM2_5_TPY,SO2_TPY,VOC_TPY
RN100222983,29.45218899,-98.61003546,BG0346K,13,SOUTHWEST RESEARCH INSTITUTE,SOUTHWEST RESEARCH INSTITUTE,2016,BEXAR,8733,NONCOMMERCIAL RESEARCH ORGANANIZATIONS,113.2901,157.1044,0,1.502,1.502,3.4685,54.4509
RN100579069,29.47079048,-98.6746574,BG0406R,13,TJ TEXAS INC,WESTOVER HILLS,2016,BEXAR,3674,SEMICONDUCTORS AND RELATED DEVICES,2.8929,5.84,0,0.37,0.37,0.657,7.4976
RN101058733,29.42642781,-98.39532191,BG0488M,13,FLINT HILLS RESOURCES CORPUS CHRISTI LLC,SAN ANTONIO TERMINAL,2016,BEXAR,5171,PETROLEUM BULK STATIONS & TERMINALS,0.9595,0.4396,0,0.2351,0.0009,0,23.2198
RN102459393,29.47987981,-98.59290312,BG0526G,13,INTERTEK AUTOMOTIVE RESEARCH,INTERTEK AUTOMOTIVE RESEARCH,2016,BEXAR,8734,TESTING LABORATORIES,97.0675,36.1683,0,0.4854,0.4854,2.3984,8.2976
RN100221373,29.27545071,-98.36565498,BG0535F,13,ARCONIC INC,SAN ANTONIO WORKS,2016,BEXAR,3353,ALUMINUM SHEET PLATE & FOIL,29.9187,38.8087,0,26.6472,26.4372,0.2198,2.6708
RN100852615,29.58499293,-98.6172353,BG0579I,13,WIN SAM INC,UTSA CENTRAL ENERGY PLANT,2016,BEXAR,4939,COMBINATION UTILITY NEC,7.24,12.8237,0,15.4418,0.5817,0.4268,0.5397
RN100212422,29.44761314,-98.35147383,BG0734U,13,BFI WASTE SYSTEMS OF NORTH AMERICA INC,TESSMAN ROAD LANDFILL,2016,BEXAR,4953,REFUSE SYSTEMS,20.29,6.09,0,52.075,30.672,13.26,21.26
RN100851625,29.46511906,-98.4037724,BG0899K,13,FLOWERS BAKING CO OF SAN ANTONIO LLC,FLOWERS SAN ANTONIO BAKERY,2016,BEXAR,2051,"BREAD, CAKE AND RELATED PRODUCTS",4.3173,5.2275,0,0.9562,0.4935,0.0721,22.5725
RN100218338,29.343195,-98.64640307,BG1066M,13,WASTE MANAGEMENT OF TEXAS INC,COVEL GARDENS RPD FACILITY,2016,BEXAR,4953,REFUSE SYSTEMS,136.248,29.394,0,48.304,13.324,4.149,17.9322
RN100215854,29.37037711,-98.5655994,BG1102K,13,BOEING COMPANY,BOEING - SAN ANTONIO,2016,BEXAR,3721,AIRCRAFT,1.6692,2.6454,0,0.5627,0.5501,0.0677,40.3164
RN100854256,29.3774951,-98.56876692,BG1176E,13,KELLY AVIATION CENTER LP,KELLY AVIATION CENTER,2016,BEXAR,3724,AIRCRAFT ENGINES & ENGINE PARTS,6.8973,24.3665,0,2.4862,2.4862,1.1428,6.2335
RN100632629,29.44761314,-98.35147383,BG1233R,13,BIO ENERGY AUSTIN LLC,TESSMAN RD LFG POWER STATION,2016,BEXAR,4911,ELECTRIC SERVICES,131.51,59.46,0,3.26,3.26,4.96,1.754
RN101966075,29.5331288,-98.57661291,BG1306P,13,UNITED SERVICES AUTOMOBILE ASSOCIATION,NORTH & SOUTH PLANTS,2016,BEXAR,6399,"INSURANCE CARRIERS, NEC",6.0766,13.7173,0,2.6701,2.6649,0.0233,1.9915
RN104156062,29.343195,-98.64640307,BGA001A,13,BIO ENERGY TEXAS LLC,COVEL GARDENS LANDFILL GAS POWER STATION,2016,BEXAR,4911,ELECTRIC SERVICES,267.44,29.37,0,16.04,16.04,10.33,17.2686
RN104086673,29.26619055,-98.54724041,BGA002B,13,TOYOTA MOTOR MANUFACTURING TEXAS INC,TOYOTA VEHICLE ASSEMBLY PLANT,2016,BEXAR,3711,MOTOR VEHICLES AND CAR BODIES,12.8634,16.0438,0,21.3603,8.314,0.1742,533.9474
RN100212299,31.99916672,-102.0769229,BI0011W,7,WTG GAS PROCESSING LP,GOOD BOOSTER STATION,2016,BORDEN,1311,CRUDE PETROLEUM & NATURAL GAS,24.288,91.5519,0,1.3406,1.3406,0.0051,20.2355
RN100226232,31.85884,-97.37824,BJ0049O,9,CALPINE BOSQUE ENERGY CENTER LLC,BOSQUE COUNTY POWER PLANT WHITNEY,2016,BOSQUE,4911,ELECTRIC SERVICES,95.2389,240.8831,0,79.0426,75.7926,9.7414,1.6906
RN101225464,33.46112962,-94.21801597,BK0018O,5,DAY & ZIMMERMANN LONE STAR LLC,LONE STAR ARMY AMMUNITION PLANT TEXARKANA,2016,BOWIE,3483,"AMMUNITION, EXCEPT FOR SMALL ARM",0.4111,0.6076,0,0.0399,0.0399,0.0045,0.2777
RN100224104,33.43325,-94.09534,BK0025R,5,US DEPT OF THE ARMY,RED RIVER ARMY DEPOT,2016,BOWIE,9711,NATIONAL SECURITY,16.8932,35.3464,0,18.8,2.332,5.0587,117.6532
RN100215250,33.45072048,-94.138443,BK0051Q,5,ALUMAX MILL PRODUCTS INC,TEXARKANA FACILITY,2016,BOWIE,3341,SECONDARY NONFERROUS METALS,56.406,47.831,0.284,26.974,26.974,0.466,3.879
RN100218049,29.008761,-95.368202,BL0021O,12,BASF CORPORATION,FREEPORT SITE,2016,BRAZORIA,2869,"INDUSTRIAL ORGANIC CHEMICALS, NEC",130.6864,461.8444,0.0053,335.0443,165.7225,183.1787,202.0627
RN100210129,28.95499195,-95.33696927,BL0029V,12,GLADIEUX METALS RECYCLING LLC,GLADIEUX METALS RECYCLING,2016,BRAZORIA,3341,SECONDARY NONFERROUS METALS,9.5669,25.2832,0.2527,35.3469,32.7159,48.8252,17.2361
RN101190221,29.0529702,-95.3343259,BL0033H,12,DSM NUTRITIONAL PRODUCTS INC,DSM NUTRITIONAL PRODUCTS,2016,BRAZORIA,2834,PHARMACEUTICAL PREPARATIONS,8.37,3.3997,0,0.7554,0.5454,0.0431,5.8324
RN100212810,29.4575127,-95.32748103,BL0035D,12,HC MANVEL INC,ALCOHOL PURIFICATION & ESTERS,2016,BRAZORIA,2869,"INDUSTRIAL ORGANIC CHEMICALS, NEC",15.3264,9.0465,0,5.1258,5.1258,7.6778,6.5959
RN102185717,28.95768549,-95.33602755,BL0039S,12,NALCO COMPANY  LLC,PETROCHEMICAL REFINING,2016,BRAZORIA,2899,"CHEMICAL PREPARATIONS, NEC",10.357,1.7868,0,0.5881,0.5881,0.0557,4.1261
RN100917137,29.57089066,-95.29479556,BL0040K,12,PACKAGING SERVICE COMPANY INC,PEARLAND FACILITY,2016,BRAZORIA,7389,"BUSINESS SERVICES, NEC",0,0,0,0,0,0,25.2812
RN101619179,29.06884318,-95.73440973,BL0042G,12,PHILLIPS 66 COMPANY,SWEENY REFINERY PETROCHEM,2016,BRAZORIA,2911,PETROLEUM REFINING,726.425,544.7593,0.072,381.7465,324.7625,250.2238,350.2208
RN102200482,28.98617649,-95.55398986,BL0044C,12,CHEVRON PHILLIPS CHEMICAL COMPANY LP,CLEMENS TERMINAL,2016,BRAZORIA,4613,REFINED PETROLEUM PIPELINES,13.7067,5.6687,0,0.5845,0.5845,0.0365,74.5588
RN100218999,28.97437289,-95.34451395,BL0048R,12,SI GROUP INC,SI GROUP TX OPERATIONS,2016,BRAZORIA,2865,"CYCLIC CRUDES AND INTERMEDIATES, AND ORGANIC DYES",48.1332,85.6311,0,7.2789,5.1989,0.4148,66.8699
RN100213198,28.99112497,-95.35644743,BL0051F,12,SHINTECH INCORPORATED,SHINTECH FREEPORT PLANT,2016,BRAZORIA,2821,PLASTICS MATERIALS AND SYNTHETIC RESINS,3.26,28.4,0,13.27,13.27,0.71,78.6842
RN100225945,28.98222994,-95.37682101,BL0082R,12,DOW CHEMICAL COMPANY,DOW TEXAS OPERATIONS FREEPORT,2016,BRAZORIA,2869,"INDUSTRIAL ORGANIC CHEMICALS, NEC",865.8305,1309.74,0.0049,226.9619,191.9118,4.6407,520.1854
RN100542463,29.44091727,-95.36118352,BL0249F,12,HOUSTON PIPELINE COMPANY LP,MANVEL COMPRESSOR STATION,2016,BRAZORIA,4922,NATURAL GAS TRANSMISSION,0.6898,8.8782,0,0.0217,0.0217,0.0012,0.3062
RN102037959,28.90691071,-95.38440179,BL0423N,12,TEXAS BARGE & BOAT INC,TEXAS BARGE & BOAT,2016,BRAZORIA,3731,SHIP BUILDING AND REPAIRING,2.7982,1.4016,0,0.723,0.7207,0.0032,15.3201
RN101948883,28.9693217,-95.44441257,BL0571U,12,ENTERPRISE CRUDE PIPELINE LLC,JONES CREEK STATION,2016,BRAZORIA,4612,CRUDE PETROLEUM PIPE LINES,0.079,0.039,0,0,0,0,22.8129
RN100217033,29.07985046,-95.72022225,BL0622F,12,SWEENY COGENERATION LP,SWEENY COGENERATION FACILITY,2016,BRAZORIA,4961,STEAM AND AIR CONDITIONING SUPPLY,285.29,477.21,0,50.26,50.26,10.01,12.93
RN100215334,28.98043684,-95.38389922,BL0626U,12,AIR LIQUIDE LARGE INDUSTRIES US LP,FREEPORT HYCO PLANT,2016,BRAZORIA,2813,INDUSTRIAL GASES,295.6003,19.1081,0,10.6491,10.6491,1.3196,2.0984
RN100217629,-24.89278582,-59.935824,BL0675H,12,KINDER MORGAN TEJAS PIPELINE LP,STRATTON RIDGE STORAGE FACILITY,2016,BRAZORIA,4923,GAS TRANSMISSION AND DISTRIBUTION,0.7215,0.6621,0,0.0236,0.0236,0.0258,0.9115
RN100229079,29.08949878,-95.36830257,BL0727N,12,SEABREEZE RECOVERY INC,SEABREEZE ENVIRONMENTAL LANDFILL,2016,BRAZORIA,4953,REFUSE SYSTEMS,81.064,21.075,0,33.623,16.351,4.54,13.025
RN100825249,29.0824314,-95.7410019,BL0758C,12,CHEVRON PHILLIPS CHEMICAL COMPANY LP,SWEENY OLD OCEAN FACILITIES,2016,BRAZORIA,2869,"INDUSTRIAL ORGANIC CHEMICALS, NEC",307.1319,1090.2366,0,181.0181,167.4633,19.6757,414.3929
RN103196689,28.9286689,-95.31555918,BLA014N,12,FREEPORT LNG DEVELOPMENT LP,FREEPORT LNG IMPORT TERMINAL,2016,BRAZORIA,4925,GAS PRODUCTION AND DISTRIBUTION,41.8867,3.0076,0,0.371,0.3694,0.0299,1.3269
RN103904959,29.4989495,-95.246872,BLA015O,12,WHITE OAK OPERATING COMPANY LLC,ALVIN NORTH PRODUCTION FACILITY,2016,BRAZORIA,4925,GAS PRODUCTION AND DISTRIBUTION,4.23,0.66,0,0.132,0.132,0,15.4491
RN108772245,28.98222994,-95.37682101,BLA044R,12,BLUE CUBE OPERATIONS LLC,BLUE CUBE OPERATIONS FREEPORT,2016,BRAZORIA,2869,"INDUSTRIAL ORGANIC CHEMICALS, NEC",209.9137,415.9739,0.0092,167.1451,143.6648,2.6362,85.6366
RN101611556,30.72513335,-96.45657032,BM0009Q,9,CITY OF BRYAN,ROLAND C DANSBY POWER PLANT,2016,BRAZOS,4911,ELECTRIC SERVICES,69.7585,77.2,0,6.9329,6.9329,0.4,8.3399
RN101612851,30.64819199,-96.37173885,BM0010I,9,CITY OF BRYAN,ATKINS POWER STATION,2016,BRAZOS,4911,ELECTRIC SERVICES,0.3882,1.515,0,0.0312,0.0312,0.0161,0.0099
RN100213859,30.66022454,-96.40808901,BM0026Q,9,SAINT-GOBAIN CERAMICS & PLASTICS INC,SAINT-GOBAIN NORPRO,2016,BRAZOS,3299,NONMETALLIC MINERAL PRODUCTS,80.1986,25.2731,0,17.4681,16.2072,2.5688,17.1338
RN100216274,30.60369387,-96.35804863,BM0032V,9,TEXAS A&M  UNIVERSITY,TEXAS A & M UNIVERSITY,2016,BRAZOS,4911,ELECTRIC SERVICES,15.43,22.3974,0,9.562,9.562,11.0299,3.8496
RN100210004,29.75785994,-95.37014005,BP0031N,15,KINDER MORGAN BORDER PIPELINE LLC,BROOKS COUNTY COMPRESSOR STATION,2016,BROOKS,4922,NATURAL GAS TRANSMISSION,14.6243,57.0501,0,1.1766,1.1766,0.6061,0.5357
RN102560372,31.66565727,-99.0003219,BQ0005D,3,KOHLER CO,BROWNWOOD FACILITY,2016,BROWN,3261,VITREOUS PLUMBING FIXTURES,26.855,32.43,0,4.935,2.47,0.205,114.955
RN100219005,31.67020898,-98.99991139,BQ0009S,3,3M COMPANY,BROWNWOOD PLANT,2016,BROWN,3081,"UNSUPPORTED PLASTICS, FILM & SHEET",61.493,56.704,0,14.2629,1.899,0.1946,66.9181
RN100219005,31.67020898,-98.99991139,BQ0009S,3,3M COMPANY,BROWNWOOD PLANT,2016,BROWN,3081,"UNSUPPORTED PLASTICS, FILM & SHEET",61.493,56.704,0,14.2629,1.899,0.1946,66.9181
RN100220177,29.7309614,-97.7528322,CA0027J,11,OASIS PIPELINE CO TEXAS LP,PRAIRIE LEA COMPRESSOR STATION,2016,CALDWELL,4922,NATURAL GAS TRANSMISSION,99.094,252.6837,0,16.6774,16.6774,0.2457,68.4571
RN100242577,28.65427419,-96.55037881,CB0003M,14,ALCOA WORLD ALUMINA LLC,POINT COMFORT PLANT,2016,CALHOUN,3334,PRIMARY ALUMINUM,125.9393,232.2195,0.0025,109.1789,20.5195,12.2846,30.0703
RN102181526,28.42110345,-96.58643488,CB0028T,14,UNION CARBIDE CORPORATION,SEADRIFT PLANT,2016,CALHOUN,2869,"INDUSTRIAL ORGANIC CHEMICALS, NEC",455.5093,446.4516,0,66.1066,41.7144,0.1643,628.9001
RN100210038,28.57237499,-96.8242843,CB0034B,14,INEOS NITRILES USA LLC,GREEN LAKE PLANT,2016,CALHOUN,2869,"INDUSTRIAL ORGANIC CHEMICALS, NEC",70.0352,458.1803,0,21.0207,0.083,0.7156,42.133
RN100218973,28.6657335,-96.55272675,CB0038Q,14,FORMOSA PLASTICS CORPORATION TEXAS,FORMOSA POINT COMFORT PLANT,2016,CALHOUN,2821,PLASTICS MATERIALS AND SYNTHETIC RESINS,484.0598,3226.1732,0,206.575,178.1007,7.4248,539.6419
RN102147055,28.51899771,-96.78677727,CB0042C,14,SEADRIFT COKE LP,SEADRIFT COKE LP,2016,CALHOUN,2999,"PETROLEUM AND COAL PRODUCTS, NEC",134.7866,180.4831,0,34.1483,5.0359,432.9651,39.9644
RN101062792,28.63959561,-96.556137,CB0053U,14,FORMOSA HYDROCARBONS COMPANY INC,POINT COMFORT GAS PLANT,2016,CALHOUN,1321,NATURAL GAS LIQUIDS,25.0799,20.878,0,3.8861,3.8861,0.0003,11.8017
RN103004933,25.96235333,-97.35831035,CD0042D,15,TRANSMONTAIGNE OPERATING CO LP,BROWNSVILLE TERMINAL,2016,CAMERON,4226,SPECIAL WAREHOUSING AND STORAGE,1.3034,1.5516,0,0.118,0.118,0.0094,1.1788
RN102805090,25.94605276,-97.423525,CD0045U,15,KEPPEL AMFELS INC,KEPPEL AMFELS,2016,CAMERON,3731,SHIP BUILDING AND REPAIRING,0.2385,0.2839,0,0.1492,0.0839,0.0017,7.0313
RN102261021,26.22185545,-97.7207308,CD0106C,15,VALLEY CO-OP OIL  MILL,VALLEY COOP OIL MILL,2016,CAMERON,2074,COTTONSEED OIL MILLS,2.9809,1.7744,0,28.5111,24.9174,0.0213,80.5139
RN100840818,25.94698479,-97.42196575,CD0122E,15,TRANSMONTAIGNE OPERATING CO LP,SOUTHWEST TERMINAL,2016,CAMERON,4226,SPECIAL WAREHOUSING AND STORAGE,16.4052,8.4742,0,0.1015,0.1015,0.008,110.2311
RN100244433,25.9461706,-97.43823597,CD0215T,15,CHASE INDUSTRIES INC,CHEM PRUF,2016,CAMERON,3999,"MANUFACTURING INDUSTRIES, NEC",0,0,0,0.0097,0.0097,0,17.3864
